id,Categoria,Produto,Preço,Link
511,Memória RAM,"Memória XPG Spectrix D41, 8GB, 3200MHz, DDR4, RGB, CL 16, Cinza - AX4U32008G16A-ST41",171.51,https://www.kabum.com.br/produto/156594/memoria-xpg-spectrix-d41-8gb-3200mhz-ddr4-rgb-cl-16-cinza-ax4u32008g16a-st41
512,Memória RAM,"Memória RAM para Notebook Corsair Value Select, 16GB, 2133MHz, DDR4, CL15 - CMSO16GX4M1A2133C15",229.99,https://www.kabum.com.br/produto/110909/memoria-ram-para-notebook-corsair-value-select-16gb-2133mhz-ddr4-cl15-cmso16gx4m1a2133c15
513,Memória RAM,"Memória RAM para Notebook Corsair Value Select 8GB, 2133MHz, DDR4, CL15 - CMSO8GX4M1A2133C15",169.99,https://www.kabum.com.br/produto/84476/memoria-ram-para-notebook-corsair-value-select-8gb-2133mhz-ddr4-cl15-cmso8gx4m1a2133c15
514,Memória RAM,Kit Com 2 Memorias 8GB Ddr3 Kingston 1600mhz Kvr16n11/8,131.79,https://www.kabum.com.br/produto/688892/kit-com-2-memorias-8gb-ddr3-kingston-1600mhz-kvr16n11-8
515,Memória RAM,"Memória RAM XPG Lancer Blade, 16GB, RGB, DDR5, 6000MHz, Single Tray, CL48, Branco - AX5U6000C4816G-SLABRWH",399.99,https://www.kabum.com.br/produto/677475/memoria-ram-xpg-lancer-blade-16gb-rgb-ddr5-6000mhz-single-tray-cl48-branco-ax5u6000c4816g-slabrwh
516,Memória RAM,"Memória RAM Kingston Fury Beast Expo, 32GB, 6000MT/s, DDR5, DIMM, CL30, Preto - KF560C30BBE-32",959.99,https://www.kabum.com.br/produto/616569/memoria-ram-kingston-fury-beast-expo-32gb-6000mt-s-ddr5-dimm-cl30-preto-kf560c30bbe-32
517,Memória RAM,"Memória RAM Rise Mode Z, 32GB, 3200MHz, DDR4, CL19, Preto - RM-D4-32G-3200Z",408.79,https://www.kabum.com.br/produto/475277/memoria-ram-rise-mode-z-32gb-3200mhz-ddr4-cl19-preto-rm-d4-32g-3200z
518,Memória RAM,"Memória RAM Corsair Vengeance LPX, 16GB, 2666MHz, DDR4, CL16, Preto - CMK16GX4M1A2666C16",259.99,https://www.kabum.com.br/produto/101657/memoria-ram-corsair-vengeance-lpx-16gb-2666mhz-ddr4-cl16-preto-cmk16gx4m1a2666c16
519,Memória RAM,"Memória RAM Kingston Fury Beast RGB, 8GB, 5200MHz, DDR5, CL40, para Intel XMP, Preto - KF552C40BBA-8",265.99,https://www.kabum.com.br/produto/388080/memoria-ram-kingston-fury-beast-rgb-8gb-5200mhz-ddr5-cl40-para-intel-xmp-preto-kf552c40bba-8
520,Memória RAM,"Memória RAM Kingston Fury Beast RGB, 32GB, 5600MHz, DDR5, CL40, para Intel XMP, Preto - KF556C40BBA-32",819.99,https://www.kabum.com.br/produto/388090/memoria-ram-kingston-fury-beast-rgb-32gb-5600mhz-ddr5-cl40-para-intel-xmp-preto-kf556c40bba-32
